id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path
7560,Women,apparel,Bottomwear,Track Pants,Grey,Summer,2011.0,Sports,Nike Women's Be Strong Grey Track Pant,output_images\7560.png
10006,Men,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men AS T90 Black Tshirts,output_images\10006.png
4311,Unisex_Kids,apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Tantra Kid's Unisex Muscle Man Green Kidswear,output_images\4311.png
4920,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Gini and Jony Girl's Veeya Pink Infant Kidswear,output_images\4920.png
9543,Men,apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Red Polo Tshirts,output_images\9543.png
10722,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Nike Men Casual short sleeve tshirt White Tshirts,output_images\10722.png
4899,Girls,apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Levis Kids Girl's Desiree Green Kidswear,output_images\4899.png
4897,Girls,apparel,Topwear,Tops,Yellow,Summer,2011.0,Casual,Levis Kids Girl's Diane Yellow Kidswear,output_images\4897.png
2738,Boys,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Boy's Double Fun Kidswear,output_images\2738.png
2707,Girls,apparel,Dress,Dresses,Pink,Summer,2011.0,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear,output_images\2707.png
10713,Women,apparel,Bottomwear,Capris,Blue,Winter,2011.0,Sports,Nike Women Blue Dri-Fit Capris,output_images\10713.png
4890,Girls,apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Levis Kids Girl's Diaz Pink Polo Tshirt,output_images\4890.png
10714,Women,apparel,Bottomwear,Track Pants,Black,Summer,2011.0,Sports,Nike Women Trainng track pants Black Track Pants,output_images\10714.png
2700,Girls,apparel,Topwear,Tops,White,Summer,2011.0,Casual,Disney Kids Girl's White Kidswear,output_images\2700.png
4457,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Nike Men's Graphic Black Blue T-shirt,output_images\4457.png
4201,Boys,apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Green Crew Sea Life Sialing Kidswear,output_images\4201.png
4206,Boys,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Boy's Red Mickeys Scrap Book Kidswear,output_images\4206.png
2301,Men,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens Manchester United White T-shirt,output_images\2301.png
9983,Men,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men As Ss Challen Blue T-Shirts,output_images\9983.png
4459,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Nike Men's Black Blue T-shirt,output_images\4459.png
4461,Men,apparel,Topwear,Jackets,Black,Summer,2011.0,Sports,Nike Men Manu Show Time Black Jacket,output_images\4461.png
9970,Men,apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Sports,Nike Men As Squad Ft C Black Sweatshirts,output_images\9970.png
9984,Men,apparel,Topwear,Tshirts,Green,Fall,2011.0,Sports,Nike Men As Value Runn Green T-Shirts,output_images\9984.png
2306,Women,apparel,Bottomwear,Capris,Black,Fall,2010.0,Sports,Nike Women Cuffed Black Capris,output_images\2306.png
1910,Men,apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Men's Classic Patterned T-shirt,output_images\1910.png
4208,Boys,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Boy's Red Geo Team Kidswear,output_images\4208.png
4891,Girls,apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Levis Kids Girl's Diaz Pink Polo Tshirt,output_images\4891.png
2701,Girls,apparel,Topwear,Tops,Yellow,Summer,2011.0,Casual,Disney Kids Girl's Yellow Daisy Kidswear,output_images\2701.png
4896,Girls,apparel,Topwear,Tops,Yellow,Summer,2011.0,Casual,Levis Kids Girl's Diane Yellow Teens Kidswear,output_images\4896.png
10712,Women,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Nike Women Casual short sleeve tshirt Blue Tshirts,output_images\10712.png
2706,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Pooh Kidswear,output_images\2706.png
9545,Men,apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men Grey T-shirt,output_images\9545.png
2730,Girls,apparel,Topwear,Tops,Red,Summer,2011.0,Casual,Disney Kids Girl's Red Round Neck Kidswear,output_images\2730.png
2708,Girls,apparel,Dress,Dresses,White,Summer,2011.0,Casual,Disney Kids Girl's White Dress Pooh Kidswear,output_images\2708.png
9542,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men Manu Auth Graphic Red T-Shirts,output_images\9542.png
2737,Girls,apparel,Topwear,Tops,Red,Summer,2011.0,Casual,Disney Kids Girl's Red Kidswear,output_images\2737.png
4898,Girls,apparel,Topwear,Tops,Green,Summer,2011.0,Casual,Levis Kids Girl's Desiree Green Teens Kidswear,output_images\4898.png
10723,Men,apparel,Topwear,Tshirts,White,Summer,2012.0,Sports,Nike Men Trainng Men's tshirt White Tshirts,output_images\10723.png
9985,Women,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Women As Jdi Pixels Blue T-Shirts,output_images\9985.png
2307,Women,apparel,Topwear,Tshirts,Purple,Fall,2010.0,Sports,Nike Women Purple Polo T-shirt,output_images\2307.png
9971,Men,apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Sports,Nike Men As Squad Ft C Blue Sweatshirts,output_images\9971.png
4460,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men's Hand Gang Sign Blue T-shirt,output_images\4460.png
1911,Men,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Mens Manchester United Blues T-shirt,output_images\1911.png
4209,Boys,apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Green Mickey On Skates Kidswear,output_images\4209.png
9976,Men,apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Sports,Nike Men Manu Core Black Sweatshirts,output_images\9976.png
2300,Women,apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Women Pink Polo T-shirt,output_images\2300.png
9982,Men,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue Polo T-shirt,output_images\9982.png
4458,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's Graphic White Blue T-shirt,output_images\4458.png
4207,Boys,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Disney Kids Boy's Blue Colourtastic Kidswear,output_images\4207.png
2309,Women,apparel,Topwear,Tshirts,Blue,Fall,2010.0,Sports,Nike Women Miller Blue T-shirt,output_images\2309.png
4456,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men's Kobe Epic White T-shirt,output_images\4456.png
4200,Boys,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Disney Kids Boy's Blue Champs Kidswear,output_images\4200.png
9991,Men,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men As Ad Club Pi Blue T-Shirts,output_images\9991.png
2313,Women,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Womens Green Polo T-shirt,output_images\2313.png
9962,Men,apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Medals Crew Red T-Shirts,output_images\9962.png
2314,Men,apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Mens JDI Black T-shirt,output_images\2314.png
9533,Men,apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,Nike Men Manus Shomest Adiumjsy Red Jerseys,output_images\9533.png
4213,Girls,apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Summer Fun Fair Kidswear,output_images\4213.png
9954,Men,apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men White Polo Tshirts,output_images\9954.png
9534,Men,apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Nike Men Ast 90ss Graphic Black T-Shirts,output_images\9534.png
2741,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Disney Kids Girl's Pink Kidswear,output_images\2741.png
9953,Men,apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Sports,Nike Men CBF H/A SS RE Yellow Jersey,output_images\9953.png
4214,Girls,apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Disney Kids Girl's Yellow Summer Fun Fair Kidswear,output_images\4214.png
2715,Girls,apparel,Topwear,Tops,Orange,Summer,2011.0,Casual,Disney Kids Girl's Minnie Orange Stripped Kidswear,output_images\2715.png
1164,Men,apparel,Topwear,Tshirts,Blue,Winter,2015.0,Sports,Nike Men Blue T20 Indian Cricket Jersey,output_images\1164.png
4885,Girls,apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,Levis Kids Girl's Darcy Purple Kidswear,output_images\4885.png
9560,Men,apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,Nike Men Tmtsc White T-Shirts,output_images\9560.png
4871,Boys,apparel,Topwear,Tshirts,Red,Summer,2016.0,Casual,Levis Kids Boy's Dawson Red Kidswear,output_images\4871.png
9558,Men,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Black Black Tshirts,output_images\9558.png
1163,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Sahara Team India Fanwear Round Neck Jersey,output_images\1163.png
2712,Girls,apparel,Dress,Dresses,Blue,Summer,2011.0,Casual,Disney Kids Girl's Halter Neck Blue Kidswear,output_images\2712.png
4876,Boys,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Dean White Black Teens Kidswear,output_images\4876.png
4882,Boys,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Davis White Polo Tshirt,output_images\4882.png
2724,Boys,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Boy's White Red Kidswear,output_images\2724.png
9551,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men As Race Day Ss Blue T-Shirts,output_images\9551.png
4878,Boys,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Devon White Teens Kidswear,output_images\4878.png
9556,Men,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Asem Cricket Swoosh Black T-Shirts,output_images\9556.png
9535,Men,apparel,Topwear,Tshirts,Grey,Summer,2011.0,Sports,Nike Men Ast 90ss Graphic Grey T-Shirts,output_images\9535.png
4215,Girls,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Girl's White Fun In The Fair Kidswear,output_images\4215.png
2740,Girls,apparel,Topwear,Tops,Blue,Summer,2011.0,Casual,Disney Kids Girl's Blue Kidswear,output_images\2740.png
9532,Men,apparel,Topwear,Jackets,Orange,Fall,2011.0,Sports,Nike Men Summerized Wind Runner Orange Jackets,output_images\9532.png
4212,Girls,apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,Disney Kids Girl's Yellow Kidswear,output_images\4212.png
9955,Men,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Men Blue Polo Tshirts,output_images\9955.png
2315,Women,apparel,Topwear,Tshirts,Pink,Fall,2010.0,Sports,Nike Womens Cruiser Pink T-shirt,output_images\2315.png
9963,Men,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men Tnfl Crew Black T-Shirts,output_images\9963.png
9964,Women,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Nike Women As Statement Blue T-Shirts,output_images\9964.png
9990,Men,apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men White Polo Tshirts,output_images\9990.png
2312,Men,apparel,Topwear,Tshirts,White,Fall,2010.0,Sports,Nike Mens White Polo T-shirt,output_images\2312.png
4879,Men,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Devon White Kidswear,output_images\4879.png
2722,Boys,apparel,Bottomwear,Shorts,Blue,Summer,2011.0,Casual,Disney Kids Boy's Denim Mickey Surf Kidswear,output_images\2722.png
10709,Women,apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Nike Women Trainng short sleeve tshirt Purple Tshirts,output_images\10709.png
9557,Men,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,Nike Men Running Blue Tshirts,output_images\9557.png
9550,Men,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men As Explovise Black T-Shirts,output_images\9550.png
9559,Men,apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Nike Men Ath Dept Grey Tshirts,output_images\9559.png
4883,Boys,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Davis White Polo Tshirt,output_images\4883.png
4877,Boys,apparel,Topwear,Tshirts,White,Summer,2016.0,Casual,Levis Kids Boy's Dean White Black Kidswear,output_images\4877.png
2714,Boys,apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Disney Kids Boy's Red Goofy Surf Kidswear,output_images\2714.png
4870,Boys,apparel,Topwear,Tshirts,Red,Summer,2016.0,Casual,Levis Kids Boy's Dawson Red Teens Kidswear,output_images\4870.png
4884,Girls,apparel,Topwear,Tops,Purple,Summer,2011.0,Casual,Levis Kids Girl's Darcy Purple Teens Kidswear,output_images\4884.png
4902,Girls,apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Denise Pink Teens Kidswear,output_images\4902.png
5443,Women,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Nike Women's Striped Polo Orange T-shirt,output_images\5443.png
7542,Men,apparel,Bottomwear,Shorts,White,Summer,2011.0,Sports,Nike Men's AS T90 3/4 WO White Shorts,output_images\7542.png
3324,Boys,apparel,Topwear,Tshirts,Blue,Summer,2011.0,Sports,KKR Boys Fangear Tee,output_images\3324.png
10024,Women,apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Women As Make Yours Black T-Shirts,output_images\10024.png
10672,Girls,apparel,Topwear,Tops,Purple,Fall,2011.0,Casual,Doodle Girls Little song board Purple Tops,output_images\10672.png
4905,Girls,apparel,Topwear,Tops,White,Summer,2011.0,Casual,Palm Tree Girl's Lions White Pink Kidswear,output_images\4905.png
8364,Girls,apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Girl's Happy Smiles Blue Pink Kidswear,output_images\8364.png
10675,Girls,apparel,Topwear,Tops,Black,Fall,2011.0,Casual,Doodle Girl Princess Black Tops,output_images\10675.png
2695,Boys,apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Disney Kids Boy's Baby Mickey Surf Kidswear,output_images\2695.png
3323,Men,apparel,Topwear,Jackets,Blue,Summer,2011.0,Sports,KKR Mens Fangear Tee,output_images\3323.png
10023,Women,apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Sports,Nike Women Regular Grey Track Pants,output_images\10023.png
5020,Boys,apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Levis Kids Boy's Caspian Black Kidswear,output_images\5020.png
7545,Men,apparel,Topwear,Tshirts,Green,Summer,2011.0,Sports,Nike Men's Ss Wfc No Loo Gree T-Shirt,output_images\7545.png
5444,Girls,apparel,Topwear,Tops,Black,Summer,2011.0,Casual,Ant Kids Girl's Check Top Black Kidswear,output_images\5444.png
4933,Girls,apparel,Dress,Dresses,Peach,Summer,2011.0,Casual,Gini and Jony Girl's Valerie Peach White Kidswear,output_images\4933.png
10015,Men,apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Locomotive Men American Glory White Tshirts,output_images\10015.png
4302,Unisex_Kids,apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Tantra Kid's Unisex Grandad Brick Orange Kidswear,output_images\4302.png
7573,Men,apparel,Topwear,Tshirts,Green,Summer,2011.0,Sports,Nike Men's As Race Day Green T-shirt,output_images\7573.png
8355,Boys,apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Doodle Boy's I am Handsome No1 Yellow Kidswear,output_images\8355.png
4934,Girls,apparel,Dress,Dresses,Peach,Summer,2011.0,Casual,Gini and Jony Girl's Valerie Peach White Infant Kidswear,output_images\4934.png
